address,price,area
台北市大安區仁愛路0號,1000,30
台北市大安區仁愛路1號,1005,31
台北市大安區仁愛路2號,1010,32
台北市大安區仁愛路3號,1015,33
台北市大安區仁愛路4號,1020,34
台北市大安區仁愛路5號,1025,35
台北市大安區仁愛路6號,1030,36
台北市大安區仁愛路7號,1035,37
台北市大安區仁愛路8號,1040,38
台北市大安區仁愛路9號,1045,39
台北市大安區仁愛路10號,1050,30
台北市大安區仁愛路11號,1055,31
台北市大安區仁愛路12號,1060,32
台北市大安區仁愛路13號,1065,33
台北市大安區仁愛路14號,1070,34
台北市大安區仁愛路15號,1075,35
台北市大安區仁愛路16號,1080,36
台北市大安區仁愛路17號,1085,37
台北市大安區仁愛路18號,1090,38
台北市大安區仁愛路19號,1095,39
台北市大安區仁愛路20號,1100,30
台北市大安區仁愛路21號,1105,31
台北市大安區仁愛路22號,1110,32
台北市大安區仁愛路23號,1115,33
台北市大安區仁愛路24號,1120,34
台北市大安區仁愛路25號,1125,35
台北市大安區仁愛路26號,1130,36
台北市大安區仁愛路27號,1135,37
台北市大安區仁愛路28號,1140,38
台北市大安區仁愛路29號,1145,39
台北市大安區仁愛路30號,1150,30
台北市大安區仁愛路31號,1155,31
台北市大安區仁愛路32號,1160,32
台北市大安區仁愛路33號,1165,33
台北市大安區仁愛路34號,1170,34
台北市大安區仁愛路35號,1175,35
台北市大安區仁愛路36號,1180,36
台北市大安區仁愛路37號,1185,37
台北市大安區仁愛路38號,1190,38
台北市大安區仁愛路39號,1195,39
台北市大安區仁愛路40號,1200,30
台北市大安區仁愛路41號,1205,31
台北市大安區仁愛路42號,1210,32
台北市大安區仁愛路43號,1215,33
台北市大安區仁愛路44號,1220,34
台北市大安區仁愛路45號,1225,35
台北市大安區仁愛路46號,1230,36
台北市大安區仁愛路47號,1235,37
台北市大安區仁愛路48號,1240,38
台北市大安區仁愛路49號,1245,39
台北市大安區仁愛路50號,1250,30
台北市大安區仁愛路51號,1255,31
台北市大安區仁愛路52號,1260,32
台北市大安區仁愛路53號,1265,33
台北市大安區仁愛路54號,1270,34
台北市大安區仁愛路55號,1275,35
台北市大安區仁愛路56號,1280,36
台北市大安區仁愛路57號,1285,37
台北市大安區仁愛路58號,1290,38
台北市大安區仁愛路59號,1295,39
台北市大安區仁愛路60號,1300,30
台北市大安區仁愛路61號,1305,31
台北市大安區仁愛路62號,1310,32
台北市大安區仁愛路63號,1315,33
台北市大安區仁愛路64號,1320,34
台北市大安區仁愛路65號,1325,35
台北市大安區仁愛路66號,1330,36
台北市大安區仁愛路67號,1335,37
台北市大安區仁愛路68號,1340,38
台北市大安區仁愛路69號,1345,39
台北市大安區仁愛路70號,1350,30
台北市大安區仁愛路71號,1355,31
台北市大安區仁愛路72號,1360,32
台北市大安區仁愛路73號,1365,33
台北市大安區仁愛路74號,1370,34
台北市大安區仁愛路75號,1375,35
台北市大安區仁愛路76號,1380,36
台北市大安區仁愛路77號,1385,37
台北市大安區仁愛路78號,1390,38
台北市大安區仁愛路79號,1395,39
台北市大安區仁愛路80號,1400,30
台北市大安區仁愛路81號,1405,31
台北市大安區仁愛路82號,1410,32
台北市大安區仁愛路83號,1415,33
台北市大安區仁愛路84號,1420,34
台北市大安區仁愛路85號,1425,35
台北市大安區仁愛路86號,1430,36
台北市大安區仁愛路87號,1435,37
台北市大安區仁愛路88號,1440,38
台北市大安區仁愛路89號,1445,39
台北市大安區仁愛路90號,1450,30
台北市大安區仁愛路91號,1455,31
台北市大安區仁愛路92號,1460,32
台北市大安區仁愛路93號,1465,33
台北市大安區仁愛路94號,1470,34
台北市大安區仁愛路95號,1475,35
台北市大安區仁愛路96號,1480,36
台北市大安區仁愛路97號,1485,37
台北市大安區仁愛路98號,1490,38
台北市大安區仁愛路99號,1495,39
台北市大安區仁愛路0號,1000,30
台北市大安區仁愛路1號,1005,31
台北市大安區仁愛路2號,1010,32
台北市大安區仁愛路3號,1015,33
台北市大安區仁愛路4號,1020,34
台北市大安區仁愛路5號,1025,35
台北市大安區仁愛路6號,1030,36
台北市大安區仁愛路7號,1035,37
台北市大安區仁愛路8號,1040,38
台北市大安區仁愛路9號,1045,39
台北市大安區仁愛路10號,1050,30
台北市大安區仁愛路11號,1055,31
台北市大安區仁愛路12號,1060,32
台北市大安區仁愛路13號,1065,33
台北市大安區仁愛路14號,1070,34
台北市大安區仁愛路15號,1075,35
台北市大安區仁愛路16號,1080,36
台北市大安區仁愛路17號,1085,37
台北市大安區仁愛路18號,1090,38
台北市大安區仁愛路19號,1095,39
台北市大安區仁愛路20號,1100,30
台北市大安區仁愛路21號,1105,31
台北市大安區仁愛路22號,1110,32
台北市大安區仁愛路23號,1115,33
台北市大安區仁愛路24號,1120,34
台北市大安區仁愛路25號,1125,35
台北市大安區仁愛路26號,1130,36
台北市大安區仁愛路27號,1135,37
台北市大安區仁愛路28號,1140,38
台北市大安區仁愛路29號,1145,39
