編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQPMLOJKHIFFAB96CA,20,63.23,住家用,鋼筋混凝土造,82年6月22日,五層,三層 陽台
RPQPMLOJKHIFFAB96CA,20,25.17,避難室、梯間走道、機械室、水箱,鋼筋混凝土造,82年6月22日,五層,
RPRNMLPJKHIFFAB96CA,12,144.82,住家用,鋼筋混凝土造,89年8月3日,二十九層,十五層 陽台 雨遮
RPRNMLPJKHIFFAB96CA,12,67.31,共有部份,鋼筋混凝土造,89年8月3日,二十九層,
RPQOMLOJKHIFFAB86CA,31,79.34,商業用,鋼筋混凝土造,70年12月7日,八層,八層
RPQOMLOJKHIFFAB86CA,31,36.97,共有部份,鋼筋混凝土造,70年12月7日,八層,
RPROMLRJKHIFFAB27CA,17,24.18,集合住宅,鋼骨鋼筋混凝土造,85年1月19日,二十二層,十九層 陽台
RPROMLRJKHIFFAB27CA,17,2.24,樓梯間．機房．蓄水池,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPROMLRJKHIFFAB27CA,17,2.53,樓梯間,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPROMLRJKHIFFAB27CA,17,6.70,防空避難室兼停車空間．走道,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPROMLRJKHIFFAB27CA,17,8.28,走道,鋼筋混凝土造,85年1月19日,二十二層,
RPTNMLQJKHIFFAB27CA,18,18.72,集合住宅,鋼筋混凝土造,84年5月10日,十三層,七層 陽台
RPTNMLQJKHIFFAB27CA,18,9.08,梯間．人行道．防空避難室．停車空間．機械室．水塔,鋼筋混凝土造,84年5月10日,十三層,
RPSSMLRJKHIFFAB77CA,17,.09,辦公室,鋼筋混凝土造,84年11月30日,十七層,
RPSSMLRJKHIFFAB77CA,17,.25,管理員室,鋼筋混凝土造,84年11月30日,十七層,
RPSSMLRJKHIFFAB77CA,17,81.39,集合住宅,鋼筋混凝土造,84年11月30日,十七層,十六層 陽台
RPSSMLRJKHIFFAB77CA,17,47.23,開放空間，梯間，防空避難室，停車空間，機械室，水箱,鋼筋混凝土造,84年11月30日,十七層,
RPVNMLSJKHIFFAB67CA,33,43.46,商業用,鋼筋混凝土造,68年10月22日,五層,一層 騎樓
RPRPMLSJKHIFFAB47CA,1,298.86,住宅、停車空間、人行道,鋼筋混凝土造,101年7月23日,四層,一層 二層 三層 四層 陽台 騎樓
RPUOMLSJKHIFFAB67CA,31,72.33,商業用,鋼筋混凝土造,70年9月8日,五層,一層 騎樓
RPOOMLKLKHIFFAB09CA,35,107.87,住家用,加強磚造,67年5月24日,二層,一層 二層
RPXNMLSKKHIFFAB97CA,13,124.18,住家用,鋼筋混凝土造,89年6月5日,十二層,十一層 陽台 雨遮
RPVQMLSJKHIFFAB97CA,18,62.49,住家用,鋼筋混凝土造,83年6月30日,十二層,九層 陽台
RPVQMLSJKHIFFAB97CA,18,.57,商業用,鋼筋混凝土造,83年6月30日,十二層,
RPXNMLLLKHIFFAB37CA,,69.88,住家用,見其他登記事項,,二層,一層 二層 騎樓
RPVNMLNLKHIFFAB37CA,29,91.83,國民住宅,鋼筋混凝土造,73年5月28日,五層,三層 陽台
RPXPMLRLKHIFFAB18CA,18,77.97,住家用,鋼筋混凝土造,84年2月20日,十三層,八層 陽台
RPXPMLRLKHIFFAB18CA,18,27.96,防空避難室、人行道、停車空間、樓梯間、水箱、機械房,鋼筋混凝土造,84年2月20日,十三層,
RPTTMLLJKHIFFBB47CA,5,61.37,住家用,鋼筋混凝土造,96年12月31日,十四層,十一層 陽台 雨遮
RPTTMLLJKHIFFBB47CA,5,62.25,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPXOMLOJKHIFFBB67CA,34,114.51,住商用,鋼筋混凝土造,68年7月5日,四層,一層 二層 騎樓
RPTQMLLJKHIFFAB07CA,3,85.57,集合住宅,鋼筋混凝土造,99年3月16日,八層,七層 陽台
RPTQMLLJKHIFFAB07CA,3,14.73,本共有部份之項目有樓梯間、梯廳、機械房、水箱等４項,鋼筋混凝土造,99年3月16日,八層,
RPTQMLLJKHIFFAB07CA,3,24.26,本共有部份之項目有防空避難室兼停車空間、水箱、機械房、台電受電室、人行道、門廳、社區公共空間、親子教室、私設騎樓、梯廳等共１０項,鋼筋混凝土造,99年3月16日,八層,
RPTNMLPJKHIFFBB27CA,40,57.00,住家用,鋼筋混凝土加強磚造,61年5月31日,二層,一層 二層
RPWOMLPJKHIFFBB67CA,,146.46,住家用,鋼筋混凝土造,101年10月29日,十二層,七層 陽台 雨遮
RPWOMLPJKHIFFBB67CA,,91.46,本共有部分係依使用執照之建築概要表記載項目有防空避難室兼停車空間、消防機房、污水機房、水箱、排煙室、樓梯間、停車空間、台電配電室、電信室、發電機房、管委會使用空間、門廳、垃圾室、外廊、梯廳、機房、電梯間及機械室等１８項。,鋼筋混凝土造,101年10月29日,十二層,
RPOQMLPJKHIFFBB07CA,9,184.04,機電設備室，停車空間，住宅,ＲＣ造,93年4月14日,四層,一層 二層 三層 四層 陽台 雨遮 地下層
RPVNMLQJKHIFFBB57CA,28,266.65,住商用,鋼筋混凝土造,73年11月23日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下層
RPOPMLQJKHIFFBB07CA,19,105.79,住家用,鋼筋混凝土造,82年7月15日,八層,三層 陽台
RPOPMLQJKHIFFBB07CA,19,30.69,共有部份,鋼筋混凝土造,82年7月15日,八層,
RPQRMLQJKHIFFBB47CA,19,105.60,住家用,鋼筋混凝土造,83年6月30日,八層,八層 陽台 花台
RPQRMLQJKHIFFBB47CA,19,52.75,共有部份,鋼筋混凝土造,83年6月30日,八層,
RPXPMLQJKHIFFAB87CA,43,25.05,商業用,見其他登記事項,59年6月29日,二層,一層 二層
RPSRMLOJKHIFFBB47CA,30,277.72,住商用,鋼筋混凝土造,72年1月21日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下層
RPRSMLQJKHIFFBB67CA,19,108.61,住家用,鋼筋混凝土造,83年2月8日,十三層,四層 陽台
RPRSMLQJKHIFFBB67CA,19,33.75,共有部份,鋼筋混凝土造,83年2月8日,十三層,
RPRSMLQJKHIFFBB67CA,19,.10,管理員室、辦公室,鋼筋混凝土造,83年2月8日,十三層,
RPRSMLQJKHIFFBB67CA,19,18.13,共有部份,鋼筋混凝土造,83年2月8日,十三層,
RPRSMLQJKHIFFBB67CA,19,1.19,商業用,鋼筋混凝土造,83年2月8日,十三層,
