編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLQJNHIFFAB57CA,5,249.01,住宅，樓梯間，停車空間,鋼筋混凝土造,97年6月27日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項
RPRPMLQJNHIFFAB57CA,5,19.55,共用,鋼筋混凝土造,97年6月27日,三層,
RPXNMLOJNHIFFAB77CA,,54.00,住家用,加強磚造,,二層,一層 二層
RPUOMLPJNHIFFAB67CA,32,60.15,住家用,鋼筋混凝土造,70年6月10日,五層,五層
RPSNMLOJNHIFFAB27CA,16,.39,商業用,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,1249.96,共同使用,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,2036.39,共有部份,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,132.57,住家用,鋼筋混凝土造,86年7月23日,十六層,三層 陽台 露台 花台
RPSNMLOJNHIFFAB27CA,16,47.69,共同使用,鋼筋混凝土造,86年7月23日,十六層,
RPUOMLNJNHIFFAB47CA,7,97.69,集合住宅,鋼筋混凝土造,94年12月19日,十二層,十一層 陽台
RPUOMLNJNHIFFAB47CA,7,75.23,共用部分,鋼筋混凝土造,94年12月19日,十二層,
RPUOMLNJNHIFFAB47CA,7,22.31,共用部分,鋼筋混凝土造,94年12月19日,十二層,
RPWOMLRJNHIFFAB08CA,19,143.18,住家用,鋼筋混凝土造,83年3月25日,八層,六層 陽台 花台 雨遮
RPWOMLRJNHIFFAB08CA,19,54.62,防空避難室．停車空間．人行道．梯間．機械室．水塔,鋼筋混凝土造,83年3月25日,八層,
RPPPMLQJNHIFFAB37CA,3,14.73,本共有部份之項目有樓梯間、梯廳、機械房、水箱等４項,鋼筋混凝土造,99年3月16日,八層,
RPPPMLQJNHIFFAB37CA,3,85.57,集合住宅,鋼筋混凝土造,99年3月16日,八層,四層 陽台
RPPPMLQJNHIFFAB37CA,3,24.26,本共有部份之項目有防空避難室兼停車空間、水箱、機械房、台電受電室、人行道、門廳、社區公共空間、親子教室、私設騎樓、梯廳等共１０項,鋼筋混凝土造,99年3月16日,八層,
RPVRMLSJNHIFFAB38CA,17,13.53,樓梯間，人行道，電梯間，瞭望台，防空避難室，停車空間，機械室，水箱,鋼筋混凝土造,85年5月3日,十六層,
RPVRMLSJNHIFFAB38CA,17,101.73,集合住宅,鋼筋混凝土造,85年5月3日,十六層,九層 陽台 花台
RPVSMLSJNHIFFAB48CA,20,232.61,商業用,鋼筋混凝土造,81年10月12日,十二層,六層 陽台
RPVSMLSJNHIFFAB48CA,20,57.67,共有部份,鋼筋混凝土造,81年10月12日,十二層,
RPVQMLRJNHIFFAB18CA,19,23.97,住家用,鋼筋混凝土造,82年11月5日,十二層,六層 陽台
RPVQMLRJNHIFFAB18CA,19,6.54,共有部份,鋼筋混凝土造,82年11月5日,十二層,
RPPOMLSJNHIFFAB47CA,21,57.55,住家用,鋼筋混凝土造,81年4月30日,五層,三層 陽台 花台
RPPOMLSJNHIFFAB47CA,21,21.61,受電室，水箱，門廳，梯間，機械房，電梯間，蓄水池，停車場,鋼筋混凝土造,81年4月30日,五層,
RPPOMLSJNHIFFAB47CA,21,26.98,商業用,鋼筋混凝土造,81年4月30日,五層,
RPOQMLSJNHIFFAB57CA,19,175.06,商業用,鋼筋混凝土造,82年11月2日,十六層,一層 二層 平台 騎樓 地下一層
